Country Code,GDP_per_Capita_2019
MCO,193746.785647412
LIE,166907.839305016
BMU,115798.040775578
LUX,112726.439672814
CYM,88254.2903677044
IMN,87127.5517977404
CHE,84121.9310304414
IRL,82508.4659883582
MAC,81967.699172769
NOR,76430.5889473338
ISL,68452.23622306
QAT,66841.3013472693
SGP,66081.7199235165
USA,65604.6815198734
NAC,63634.786103642
FRO,63064.6343127366
CHI,60568.1085272721
DNK,59404.2663247723
AUS,54972.7017885437
NLD,53554.9007491475
GRL,53309.2035905065
SWE,51773.0464558993
AUT,49885.9947355204
HKG,48359.0011950597
FIN,48358.1807773701
DEU,47623.8656074829
BEL,46716.6227467964
SMR,46627.0122356944
CAN,46352.8693445211
PST,45916.4122663126
ARE,44251.4541390148
ISR,44140.8289372511
NZL,42747.2099299966
GBR,42662.5353740311
HIC,41457.3871652811
AND,41257.8045846483
JPN,40415.9567649547
FRA,40408.2848574751
OED,39764.8216112273
GUM,39274.9431424899
EMU,39217.3839966029
VIR,38633.5298915336
EUU,35341.5703329216
SXM,34861.469528968
ITA,33812.788724868
NCL,33411.3358835672
BHS,32979.5401279534
PRI,32916.866800639
MLT,32412.2697818499
KOR,31902.4169048194
KWT,31707.8737464917
ABW,31096.2050738676
BRN,30426.5730284202
ESP,29776.2011500384
CYP,29703.052734375
SAU,27892.8421521179
TCA,27273.4376992357
BHR,27259.7438599327
SVN,25814.1687167572
ECS,24958.3859753607
MNP,24496.6652122421
CZE,24062.7190013343
EST,24021.2501413306
KNA,23595.4923231291
PRT,23343.3628970034
PYF,21582.5892046801
BRB,20583.7265786414
LTU,19727.7607453736
SVK,19406.0589683582
GRC,19335.3602002969
CUW,19220.6866958303
OMN,19180.1864152801
SYC,19141.5118743615
MAF,19033.0649634889
ATG,18884.3729680383
URY,18315.7352857194
TTO,17431.0269266696
LVA,17294.9751600969
HUN,16786.2136399075
PAN,16477.9066285687
CEB,16475.161477584
POL,15874.5220531254
PLW,15841.1935329812
HRV,15563.8167397199
CHL,14495.716721687
OSS,14425.2470146907
ROU,12992.0326104674
ASM,12886.1359517218
CRI,12884.6859951989
SST,12739.8388742478
CSS,12356.3216439351
LCA,11794.2056521711
MDV,11740.2724029785
EAS,11458.795842252
RUS,11447.701171875
MUS,11403.2527870674
WLD,11334.8430932207
MYS,10920.191763972
NRU,10776.8284610316
GRD,10462.7929159533
MEX,10369.5553568761
CHN,10143.8602206165
LTE,9991.40401633086
LBY,9963.19489084483
ARG,9955.97478680428
BGR,9838.60058985384
KAZ,9457.12614657136
CUB,9232.26115935183
TUR,9215.44049888114
BRA,9029.83326742175
TEC,9027.50709505223
DMA,9009.09011545429
MNE,8909.6538759126
LBN,8905.88005497437
LCN,8830.90045629058
VCT,8743.33202133753
TLA,8654.86209465818
UMC,8551.4409621973
LAC,8305.98946791718
TEA,8245.10161071216
DOM,8164.22080932117
EAP,8153.62140587102
SRB,7755.632986437
THA,7605.69657797759
MEA,7590.75451796732
GAB,7441.1786472281
BWA,7172.08956480028
PER,7037.00803692604
BLR,6837.76832136779
GNQ,6804.14923073888
MKD,6718.85826635458
TKM,6648.0348960628
SUR,6629.66775248603
ZAF,6533.71121032856
ARB,6525.21184312385
COL,6472.54544924705
IBD,6459.05649734705
GUY,6405.82443444562
ECU,6205.05759479761
BLZ,6190.04792278445
BIH,6122.3753450882
ECA,6020.75079545102
FJI,5950.82868635508
PRY,5821.18199548637
IRQ,5671.8568632942
JAM,5607.24300668501
ALB,5460.42823730592
MHL,5292.33985502306
MIC,5267.9276273194
IBT,5125.36118877249
TUV,5115.13075950206
AZE,4805.75371765917
LMY,4791.42088334726
GEO,4741.2832715876
NAM,4731.9210318831
TON,4676.84790348236
ARM,4597.22887399548
GTM,4511.99755157656
DZA,4468.45341883656
XKX,4415.99716107514
MDA,4405.33418162155
CPV,4380.7811916403
WSM,4351.94234943706
MNG,4347.54610314873
SLV,4320.11671534627
PSS,4170.32118081193
JOR,4170.1144003465
IDN,4106.94856173421
LKA,4082.69404871533
SWZ,3894.32951592818
IRN,3831.27894763337
PSE,3656.85827137011
UKR,3619.86157226563
MNA,3594.10876400589
TMN,3593.38666747385
BTN,3576.87987077877
FSM,3572.65918282222
TUN,3528.87213306798
EAR,3527.54327176522
MAR,3508.09765625
BOL,3503.8960106182
VNM,3440.90025375434
PHL,3400.78949772302
VUT,3207.44650452083
EGY,2962.98892023003
DJI,2837.17103336917
LAO,2589.32081035237
PNG,2575.77274251891
HND,2502.32744328073
COG,2488.42466724916
NGA,2265.15520863056
KHM,2225.87705485686
SLB,2223.66502559565
AGO,2189.85571407618
GHA,2186.18924111824
LMC,2152.16187917576
CIV,2141.76836170115
BGD,2129.79896954606
IND,2041.42863698585
UZB,2041.38480729431
KEN,1960.40808854893
NIC,1958.62132892996
SAS,1952.01340084598
TSA,1952.01340084598
STP,1935.2931816596
FCS,1890.22006963616
IDB,1865.35605450935
AFW,1783.65436491191
MRT,1767.072710621
KIR,1750.99750920482
ZWE,1684.02790388182
SSF,1611.67363549653
TSS,1611.67363549653
SSA,1610.17142040812
TLS,1562.36458881813
CMR,1555.22660476477
COM,1519.26386436068
AFE,1493.78044490037
PRE,1469.63291800162
SEN,1431.18128932159
IDA,1430.29036966118
MMR,1425.98954211903
KGZ,1421.99927504102
PAK,1390.41690981745
HTI,1352.17204191532
ZMB,1258.98619844462
IDX,1211.19958978076
NPL,1203.14294706401
BEN,1130.82135304977
SYR,1109.53926036049
LDC,1097.76355049254
LSO,1082.05706777516
TZA,1063.32250976563
GIN,1031.34146480732
HPC,976.312547557857
TJK,871.022372934846
SLE,843.71251730417
ETH,828.70897229725
TGO,826.260654099894
UGA,822.057058189153
MLI,820.197390833912
RWA,810.051420243718
GNB,807.359903965493
BFA,764.853077774946
GMB,738.186751987483
SDN,709.975280761719
TCD,678.142035723965
LIC,676.709800653852
LBR,658.164180770507
YEM,623.376164898164
MWI,580.889816066776
NER,561.691304349698
COD,557.044161335917
SOM,539.893931565468
MOZ,519.09255091362
MDG,499.818837622534
AFG,496.6025042585
CAF,449.228467602439
BDI,210.236494521532