Entity,GDP_per_capita_2022
Afghanistan,1357.9878
Albania,12978.101
Algeria,13506.444
Angola,6118.905
Argentina,18292.318
Armenia,13837.577
Australia,52049.43
Austria,43792.855
Azerbaijan,17682.94
Bahrain,38651.6
Bangladesh,4925.721
Barbados,11545.848
Belarus,18699.799
Belgium,41872.395
Benin,2477.0903
Bolivia,6481.3906
Bosnia and Herzegovina,12142.863
Botswana,16351.91
Brazil,14640.076
Bulgaria,20592.455
Burkina Faso,1704.966
Burundi,717.22845
Cambodia,3944.2468
Cameroon,2812.2148
Canada,45529.645
Cape Verde,7202.767
Central African Republic,596.393
Chad,1393.5635
Chile,22740.72
China,19238.18
Colombia,14468.964
Comoros,1900.3983
Congo,4187.507
Costa Rica,15496.82
Cote d'Ivoire,4011.7122
Croatia,26986.752
Cuba,7648.704
Cyprus,31523.498
Czechia,32247.395
Democratic Republic of Congo,844.172
Denmark,50689.68
Djibouti,3623.0603
Dominica,8879.6455
Dominican Republic,17713.52
Ecuador,10124.076
Egypt,13205.406
El Salvador,9218.905
Equatorial Guinea,22707.22
Estonia,30067.395
Eswatini,8522.45
Ethiopia,2289.409
Finland,40701.465
France,39065.71
Gabon,15720.901
Gambia,2010.5322
Georgia,14360.359
Germany,46647.793
Ghana,4242.4106
Greece,25283.906
Guatemala,7969.431
Guinea,1809.2666
Guinea-Bissau,1625.3876
Haiti,1546.4222
Honduras,5186.5303
Hungary,29451.855
Iceland,42145.594
India,7765.593
Indonesia,12801.671
Iran,18473.066
Iraq,13071.94
Ireland,60257.082
Israel,36648.918
Italy,36224.293
Jamaica,7481.6685
Japan,38268.79
Jordan,9151.479
Kazakhstan,26491.857
Kenya,3403.9238
Kuwait,71533.516
Kyrgyzstan,5304.841
Laos,7168.1904
Latvia,27220.303
Lebanon,10341.159
Lesotho,2312.9583
Liberia,811.2146
Libya,12755.204
Lithuania,30863.32
Luxembourg,55484.777
Madagascar,1367.0938
Malawi,1190.0509
Malaysia,26628.707
Mali,1651.9413
Malta,34496.34
Mauritania,3680.3662
Mauritius,20643.094
Mexico,16235.455
Moldova,6674.871
Mongolia,13442.906
Montenegro,20941.805
Morocco,8400.127
Mozambique,1087.836
Myanmar,5177.4326
Namibia,7979.328
Nepal,3013.5178
Netherlands,49669.867
New Zealand,38250.12
Nicaragua,5092.8413
Niger,1007.72095
Nigeria,5070.4927
North Korea,1568.847
North Macedonia,14050.995
Norway,88366.22
Oman,47988.65
Pakistan,5531.723
Palestine,4775.202
Panama,23557.02
Paraguay,8762.771
Peru,12762.967
Philippines,8370.666
Poland,32468.402
Portugal,28992.059
Puerto Rico,35280.668
Qatar,149171.11
Romania,26197.904
Russia,25437.107
Rwanda,2198.0662
Saint Lucia,10452.165
Sao Tome and Principe,3751.6428
Saudi Arabia,53516.91
Senegal,2660.6816
Serbia,17097.686
Seychelles,31055.39
Sierra Leone,1690.4982
Singapore,80320.086
Slovakia,27519.287
Slovenia,32673.762
South Africa,11415.887
South Korea,41320.9
Spain,34123.387
Sri Lanka,10705.481
Sweden,47126.13
Switzerland,63323.254
Syria,2494.7612
Taiwan,53142.984
Tajikistan,5507.5454
Tanzania,3057.3286
Thailand,16421.072
Togo,1586.5889
Trinidad and Tobago,25773.006
Tunisia,10913.846
Turkey,27361.988
Turkmenistan,17234.555
Uganda,2122.0278
Ukraine,7749.0996
United Arab Emirates,77203.67
United Kingdom,38406.53
United States,58487.465
Uruguay,20181.94
Uzbekistan,12559.401
Venezuela,5267.1753
Vietnam,8050.359
Yemen,1959.3195
Zambia,3342.4214
Zimbabwe,1703.5294