Entity,Code,Year,Adolescent Birth Rate
Algeria,DZA,2018,9.1
American Samoa,ASM,2018,38.72
Andorra,AND,2018,2.51
Antigua and Barbuda,ATG,2018,27.63
Argentina,ARG,2018,50.72
Armenia,ARM,2018,18.91
Aruba,ABW,2018,22.4
Australia,AUS,2018,9.43
Australia and New Zealand (UN),,2018,10.57
Austria,AUT,2018,5.48
Azerbaijan,AZE,2018,43.48
Bahrain,BHR,2018,12.45
Bangladesh,BGD,2018,75.0
Belarus,BLR,2018,11.65
Belgium,BEL,2018,5.54
Belize,BLZ,2018,73.59
Bermuda,BMU,2018,4.29
Bonaire Sint Eustatius and Saba,BES,2018,13.76
Bosnia and Herzegovina,BIH,2018,9.88
Botswana,BWA,2018,48.5
Brazil,BRA,2018,53.28
Brunei,BRN,2018,9.79
Bulgaria,BGR,2018,38.91
Canada,CAN,2018,6.58
Cape Verde,CPV,2018,51.9
Cayman Islands,CYM,2018,15.7
Central African Republic,CAF,2018,184.36
Central and Southern Asia (UN),,2018,31.09
Chad,TCD,2018,138.45
Chile,CHL,2018,22.94
China,CHN,2018,12.65
Colombia,COL,2018,59.74
Cook Islands,COK,2018,31.65
Costa Rica,CRI,2018,47.91
Croatia,HRV,2018,8.59
Cuba,CUB,2018,53.34
Curacao,CUW,2018,18.23
Cyprus,CYP,2018,7.79
Czechia,CZE,2018,10.75
Denmark,DNK,2018,2.43
Dominican Republic,DOM,2018,77.11
Eastern and South-Eastern Asia (UN),,2018,21.57
Ecuador,ECU,2018,72.25
El Salvador,SLV,2018,50.06
Estonia,EST,2018,9.57
Europe (UN),,2018,11.55
Europe and Northern America (UN),,2018,13.35
Faroe Islands,FRO,2018,7.56
Fiji,FJI,2018,29.39
Finland,FIN,2018,4.32
France,FRA,2018,7.65
French Guiana,GUF,2018,67.46
French Polynesia,PYF,2018,31.6
Gabon,GAB,2018,98.54
Gambia,GMB,2018,64.78
Georgia,GEO,2018,31.95
Germany,DEU,2018,7.42
Ghana,GHA,2018,78.02
Greece,GRC,2018,8.48
Greenland,GRL,2018,37.24
Grenada,GRD,2018,30.11
Guadeloupe,GLP,2018,9.04
Guam,GUM,2018,35.06
Guatemala,GTM,2018,78.43
Guyana,GUY,2018,64.88
Honduras,HND,2018,97.05
Hong Kong,HKG,2018,2.08
Hungary,HUN,2018,22.04
Iceland,ISL,2018,5.33
India,IND,2018,12.2
Iran,IRN,2018,30.47
Ireland,IRL,2018,6.16
Israel,ISR,2018,8.21
Italy,ITA,2018,4.11
Jamaica,JAM,2018,35.89
Japan,JPN,2018,3.05
Kazakhstan,KAZ,2018,24.28
Kenya,KEN,2018,75.19
Kosovo,OWID_KOS,2018,8.47
Kuwait,KWT,2018,5.19
Kyrgyzstan,KGZ,2018,34.6
Latin America and the Caribbean (UN),,2018,60.03
Latvia,LVA,2018,12.11
Least Developed Countries (LDCs),,2018,96.55
Liberia,LBR,2018,128.05
Liechtenstein,LIE,2018,1.0
Lithuania,LTU,2018,11.19
Luxembourg,LUX,2018,4.6
Macao,MAC,2018,1.12
Madagascar,MDG,2018,143.46
Malawi,MWI,2018,135.63
Malaysia,MYS,2018,8.77
Malta,MLT,2018,12.07
Martinique,MTQ,2018,11.65
Mauritania,MRT,2018,88.24
Mauritius,MUS,2018,23.4
Mayotte,MYT,2018,66.0
Mexico,MEX,2018,58.64
Moldova,MDA,2018,31.36
Mongolia,MNG,2018,30.73
Montenegro,MNE,2018,9.7
Montserrat,MSR,2018,18.12
Morocco,MAR,2018,21.66
Nepal,NPL,2018,63.11
Netherlands,NLD,2018,2.58
New Caledonia,NCL,2018,15.33
New Zealand,NZL,2018,13.46
Niue,NIU,2018,0.0
North Macedonia,MKD,2018,15.54
Northern Africa (UN),,2018,45.95
Northern Africa and Western Asia (UN),,2018,40.61
Northern America (UN),,2018,16.2
Norway,NOR,2018,2.54
Oceania (UN),,2018,28.38
Oman,OMN,2018,11.8
Pakistan,PAK,2018,54.0
Palau,PLW,2018,35.14
Palestine,PSE,2018,42.84
Panama,PAN,2018,75.4
Peru,PER,2018,42.68
Poland,POL,2018,10.3
Portugal,PRT,2018,7.35
Puerto Rico,PRI,2018,19.36
Qatar,QAT,2018,8.45
Reunion,REU,2018,20.62
Romania,ROU,2018,36.37
Russia,RUS,2018,16.1
Rwanda,RWA,2018,31.79
Saint Barthlemy,,2018,4.21
Saint Martin (French part),MAF,2018,32.49
Saint Pierre and Miquelon,SPM,2018,0.0
Saint Vincent and the Grenadines,VCT,2018,55.92
Samoa,WSM,2018,54.92
Sao Tome and Principe,STP,2018,86.06
Senegal,SEN,2018,69.22
Serbia,SRB,2018,14.0
Seychelles,SYC,2018,65.0
Sierra Leone,SLE,2018,101.94
Singapore,SGP,2018,2.84
Slovakia,SVK,2018,26.33
Slovenia,SVN,2018,3.84
Small Island Developing States (SIDS),,2018,53.61
South Korea,KOR,2018,0.94
Spain,ESP,2018,6.22
Sub-Saharan Africa (UN),,2018,104.24
Suriname,SUR,2018,53.91
Sweden,SWE,2018,4.21
Switzerland,CHE,2018,2.32
Thailand,THA,2018,32.97
Tunisia,TUN,2018,6.47
Turkey,TUR,2018,19.21
Turkmenistan,TKM,2018,22.36
Turks and Caicos Islands,TCA,2018,18.19
Tuvalu,TUV,2018,43.76
Ukraine,UKR,2018,17.98
United Arab Emirates,ARE,2018,4.97
United Kingdom,GBR,2018,11.86
United States,USA,2018,16.9
Uruguay,URY,2018,37.34
Uzbekistan,UZB,2018,1.01
Venezuela,VEN,2018,73.95
Wallis and Futuna,WLF,2018,14.39
World,OWID_WRL,2018,44.05
