,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent_Birth_Rate_2019,GGHD_as_CHE_2019,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015,GDP_2019,GDP_per_Capita_2019,Gini_2019,Share_of_Pop_in_Extreme Poverty_2019,Urban_population_percent_2019
NGA,5.379,173.9440254,5070.4927,,1122.0,209485641.0,80.95,16.0,45.0,8.0,1.0,-0.389999986,0.299930215,0.4347825944423675,-0.177,0.409,1.273445487,,3.0,1.0,1.0,2.517959421246088,0.7439039349555969,,0.7149775624275208,6.0,0.7111110091209412,,,,474517490844.461,2265.15520863056,,,51.157
NIC,2.377,48.10536812,5092.8413,0.94,75.0,6483657.0,,62.0,59.0,4.0,1.0,0.1351999938488006,0.2682301998138428,0.7142857313156128,-0.122,-1.096,0.9180742502212524,0.577134371,4.0,2.0,3.0,2.8271569772260503,1.074407696723938,,0.77233994,12.0,0.699999988,0.3842727279663085,0.041353111,0.1781091857955144,12699028889.666,1958.62132892996,,,58.76
NLD,1.57,492.6178476,49669.867,2.91,4.0,17344874.0,2.45,66.0,91.0,3.0,1.0,2.213000059127808,0.3466637134552002,0.9589040875434875,2.005,2.321,3.719016551971436,0.8200467824935913,,,,6.239739615880115,1.235129475593567,1.3823606967926023,0.98216182,,,0.4548168182373047,0.0,0.2389895906046961,928903005576.469,53554.9007491475,29.2,0.0957287,91.876
NOR,1.53,16.00484499,88366.22,3.4,2.0,5347896.0,2.26,86.0,186.0,3.0,1.0,2.5269999504089355,0.3461064994335174,1.4893616437911987,2.981,2.347,3.719016551971436,0.8051890730857849,,,,7.020503722012746,1.7575538158416748,,0.8357422351837158,,,0.5059385299682617,0.004523145,0.2541734644582692,408742840909.091,76430.5889473338,27.7,0.15653396,82.616
NPL,2.08,208.9919777,3013.5178,0.28,182.0,28414064.0,76.43,25.0,58.0,7.0,1.0,-0.027389999,0.2888506054878235,1.0,-0.056,-0.977,0.9015800356864928,0.5849602222442627,3.0,2.0,2.0,2.563859152526074,1.9272812604904173,,0.9620231986045836,10.0,0.7222223877906799,0.2420838356018066,0.2102709579467773,0.1678603937867878,34186180699.0255,1203.14294706401,,,20.153
NRU,3.618,,,,,11587.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,124871111.377973,10776.8284610316,,,100.0
NZL,1.72,16.58881167,38250.12,2.51,7.0,4979200.0,12.8,76.0,185.0,2.0,1.0,2.234999895095825,0.3487879037857055,1.7073169946670532,2.628,2.294,3.719016551971436,0.5701025128364563,,,,6.045540195405914,1.0782487392425537,,0.5542635917663574,,,0.5531219100952148,0.0281258797645568,0.3299462841483673,212846907683.439,42747.2099299966,,,86.615
OMN,2.776,8.991922456,47988.65,1.16,16.0,4591241.0,8.23,88.0,187.0,5.0,1.0,1.2020000219345093,0.3540123999118805,0.4827586412429809,0.632,0.222,2.4007837772369385,,,,,7.476697033755802,2.486063003540039,,0.9338986873626708,18.0,,,,,88060858257.4772,19180.1864152801,,,85.443
PAK,3.62,225.1880967,5531.723,,179.0,230800899.0,,33.0,29.0,7.0,1.0,0.0123699996620416,0.2969217896461487,0.9090909361839294,-1.681,1.199,1.1749868392944336,,4.0,3.0,1.0,3.8826696664257145,1.7391399145126345,,0.772068202,5.0,0.7555556297302246,,,,320909472770.669,1390.41690981745,,,36.907
PAN,2.375,47.30965833,23557.02,1.92,51.0,4234700.0,68.65,57.0,92.0,4.0,1.0,0.4129999876022339,0.2918302118778229,0.9210526943206788,1.452,0.434,1.0407319068908691,,,,,0.0,1.880421757698059,,0.7365332245826721,15.0,0.7888889908790588,0.5051546478271485,0.07216495,0.097,69778991200.0,16477.9066285687,49.8,1.0040996,68.059
PER,2.242,22.715625,12762.967,1.64,72.0,32449303.0,39.41,63.0,30.0,4.0,1.0,0.7907000184059143,0.2843289077281952,0.9090909361839294,0.883,0.138,1.1650469303131104,0.7944921851158142,,,,4.697762901666944,1.8221758604049685,1.502607822418213,0.8838841319084167,10.0,0.9333333373069764,0.3853030395507812,0.0196783697605133,0.1471579226541407,228346006003.648,7037.00803692604,41.5,2.9770849,78.099
PHL,2.805,312.7779455,8370.666,0.99,81.0,110804683.0,,41.0,46.0,2.0,1.0,0.7146000266075134,0.2902672886848449,2.058823585510254,0.075,1.967,1.4360082149505615,,,,,3.516465172632296,0.9634606242179872,,0.7033475041389465,12.0,0.8222219944000244,0.4661044692993164,0.2024450874328613,0.1364264143510991,376823402244.928,3400.78949772302,,,47.149
PLW,,44.50434783,,,,17798.0,34.47,47.0,,,,,,,,,,,,,,,,,,,,,,,281941562.5,15841.1935329812,,,80.47
PNG,3.322,15.14375304,,,190.0,9609010.0,,58.0,93.0,2.0,1.0,-0.250499994,0.2785758972167969,0.9090909361839294,-0.576,-0.249,1.304685354232788,,3.0,2.0,2.0,2.5888303633363283,0.2105388939380645,,0.3313953578472137,9.0,0.455555647611618,0.6746794891357422,0.064674907,0.1479699859414963,24750626040.5917,2575.77274251891,,,13.25
POL,1.44,125.5226824,32468.402,6.11,2.0,37965475.0,9.4,71.0,17.0,3.0,1.0,1.4279999732971191,0.2857491075992584,1.2068965435028076,1.295,2.288,1.8339595794677732,0.7944921851158142,,,,5.596630472638118,1.7121145725250244,1.2700936794281006,0.7398378252983093,18.0,0.8555556535720825,0.3288846588134765,0.0,0.197956183110512,602683770144.88,15874.5220531254,28.8,0.06276072,60.037
PRI,0.982,448.4780158,35280.668,,21.0,3193694.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,105126400000.0,32916.866800639,,,93.576
PRK,1.84,202.1925089,1568.847,,106.0,26037632.0,,,41.0,2.0,1.0,0.1978999972343444,0.3686543107032776,0.2857142984867096,-1.882,0.051,1.5229148864746094,,,,,3.570413072481041,4.021009445,,0.8221222758293152,18.0,,,,,,,,,62.134
PRT,1.43,116.3004264,28992.059,3.53,11.0,10286263.0,7.63,61.0,21.0,3.0,1.0,1.7710000276565552,0.3463701903820038,1.0,1.754,2.285,3.0591042041778564,0.5998179316520691,,,,5.843183679989609,2.0916824340820317,1.7096178531646729,0.986026644706726,,,0.456702766418457,4.22901997808367e-06,0.2291650050128105,240115970063.019,23343.3628970034,32.8,0.14872062,65.764
PRY,2.525,16.2446514,8762.771,1.01,70.0,6515058.0,,46.0,189.0,4.0,1.0,0.12219999730587,0.2888574004173279,1.0,-0.082,0.839,0.9106116890907288,0.5849602222442627,,,,4.073962192575023,1.569635987281799,1.2369389533996582,0.8830298185348511,10.0,0.7222223877906799,0.2151026916503906,0.091828508,0.1282532493879019,37925338329.1494,5821.18199548637,45.7,1.0115106,61.879
PSE,3.642,689.7009967,4775.202,,20.0,4685306.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,17133500000.0,3656.85827137011,,,76.44
PYF,1.712,74.04371585,,,,279034.0,27.97,,,,,,,,,,,,,,,,,,,,,,,,6022276196.13871,21582.5892046801,,,61.897
QAT,1.834,151.7687662,149171.11,,7.0,2638657.0,8.23,85.0,94.0,5.0,1.0,0.9509000182151794,0.3786194026470184,1.7073169946670532,0.262,-0.136,1.9188761711120603,,,,,,1.722609519958496,,0.676313579,18.0,,,,,176371267689.082,66841.3013472693,,,99.188
ROU,1.77,93.18438668,26197.904,7.06,10.0,19371648.0,35.88,80.0,190.0,3.0,1.0,1.0160000324249268,0.3089460134506225,1.029411792755127,0.316,1.693,2.6520698070526123,0.726930559,,,,4.871482091434846,2.145725011825561,1.3030749559402466,0.7155935168266296,,0.8222223520278931,0.3113029670715332,0.001771879,0.199208132,251677082534.495,12992.0326104674,34.8,2.1640766,54.084
RUS,1.504,8.655500105,25437.107,7.08,7.0,145453291.0,14.6,61.0,11.0,3.0,1.0,0.6463000178337097,0.285027801990509,0.9459459781646729,-0.926,-0.311,2.5295772552490234,0.7417882680892944,,,,6.129278136,2.4227583408355717,1.7524479627609253,0.88012296,14.0,0.8111112713813782,0.3666044998168945,0.2135416603088379,0.1863977335803519,1693115002708.32,11447.701171875,35.7,0.030398078,74.587
RWA,3.939,430.6445075,2198.0662,0.74,281.0,12776103.0,,40.0,129.0,8.0,1.0,0.7527999877929688,0.2773633003234863,0.7142857313156128,2.113,0.12,3.0902323722839355,,5.0,3.0,3.0,2.3134469330946974,1.4057364463806152,,0.8309174180030823,16.0,0.7333336472511292,0.409212532043457,0.078624191,0.1372759240955003,10349300380.33,810.051420243718,,,17.313
SAU,2.504,12.76835265,53516.91,2.18,18.0,30063799.0,,74.0,197.0,5.0,1.0,0.4077999889850616,0.3202139139175415,0.6481481194496155,-0.205,-0.268,2.376030921936035,0.5998179316520691,,,,7.919287117,2.1893415451049805,,0.7388514280319214,12.0,,0.1784378433227539,0.2637085914611816,0.01677516,838564800000.0,27892.8421521179,,,84.065
SDN,4.617,18.32996633,,0.66,298.0,45548175.0,,23.0,33.0,8.0,1.0,-0.88349998,0.2918989062309265,0.7142857313156128,-1.458,-0.514,0.4572379887104034,,2.0,0.0,1.0,4.087616276904323,2.0533323287963867,,0.7198916673660278,4.0,0.5111110210418701,,0.2852458953857422,0.062081585,32338079165.2893,709.975280761719,,,34.936
SEN,4.517,64.58214304,2660.6816,5.35,258.0,16352922.0,67.42,24.0,31.0,8.0,1.0,0.2705999910831451,0.2748607993125915,0.7368420958518982,0.945,-0.691,1.358579158782959,,4.0,3.0,3.0,2.7559507583859126,0.8223561644554138,,0.6518498063087463,12.0,0.7555556297302246,0.2726315116882324,0.1424836826324463,0.1977062705959918,23403995992.1354,1431.18128932159,,,47.653
SGP,1.14,7252.857143,80320.086,2.63,6.0,5703569.0,3.3,52.0,200.0,2.0,1.0,1.6720000505447388,0.3230274021625519,1.0,2.262,1.202,2.713383436203003,,,,,7.425976525129952,3.310330390930176,0.9848652482032776,0.6995847225189209,18.0,,0.4472867584228515,0.0,0.1363580227249894,376901649222.451,66081.7199235165,,,100.0
SLB,4.104,19.22115041,,,127.0,728147.0,,73.0,203.0,2.0,1.0,-0.70569998,0.3296481072902679,0.1408450752496719,-0.154,-0.858,0.9394494891166688,,2.0,0.0,1.0,,,,,,0.4888886511325836,0.3585391616821289,0.4107589340209961,0.291555273,1619155017.3924,2223.66502559565,,,24.21
SLE,4.192,81.91845853,1690.4982,,435.0,7731991.0,,14.0,95.0,8.0,1.0,-0.070210002,0.2735975980758667,0.875,0.133,-0.874,2.108358383178711,,4.0,2.0,1.0,1.8670936098848043,0.7816979885101318,,0.4413953721523285,14.0,0.633333683,0.4302884674072265,0.1576923084259033,0.090209392,6523577590.38319,843.71251730417,,,42.484
SLV,1.838,298.8899614,9218.905,1.08,39.0,6222318.0,,54.0,22.0,4.0,1.0,0.4873000085353851,0.2856289148330688,0.7142857313156128,-0.319,0.733,1.5702369213104248,0.726930559,,,,3.692903998837519,2.023021936416626,1.562201976776123,0.8602198958396912,10.0,0.911111295223236,0.3525532531738281,0.049460744857788,0.151896886,26881140000.0,4320.11671534627,38.8,1.4019152,72.746
SMR,,525.5666667,,,,34663.0,1.23,89.0,,,,,,,,,,,,,,,,,,,,,,,1616232125.12587,46627.0122356944,,,97.368
SOM,6.531,14.87391207,,,606.0,16030971.0,,5.0,130.0,8.0,1.0,-2.095999956,0.3331227898597717,0.2857142984867096,-1.415,-1.257,-0.15731068,,,,,1.4767086214875351,0.8899768590927124,,0.612989068,0.0,0.2000000029802322,,,,8655023960.002,539.893931565468,,,45.554
SRB,1.52,83.36382346,17097.686,5.35,10.0,6945235.0,13.64,58.0,198.0,3.0,1.0,0.888700008,0.2918030023574829,1.2280701398849487,-0.146,0.617,1.4946722984313965,,,,,4.635307365,1.6028902530670166,1.7567142248153689,0.8211223483085632,16.0,0.8999999761581421,0.2194357299804687,0.0344827580451965,0.2366780199571259,53864693664.5568,7755.632986437,34.5,2.3344426,56.26
SSD,4.619,,,,1245.0,10423384.0,,11.0,32.0,8.0,1.0,-1.368000031,0.3291442990303039,,-2.095,-1.123,0.2447371035814285,,0.0,0.0,2.0,4.686739205945025,2.904957056045532,,0.6071009635925293,6.0,0.3444446623325348,,,0.082957781,,,,,19.899
STP,3.964,171.875,3751.6428,,142.0,213392.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,412976082.620705,1935.2931816596,,,73.598
SUR,2.394,3.365384615,,2.89,100.0,605768.0,50.22,71.0,4.0,4.0,1.0,-0.087619998,0.3437305092811584,1.029411792755127,-0.087,-0.445,0.9674082398414612,,,,,,1.497307538986206,,,,0.6222226619720459,,,0.1542384066230727,4016040575.08796,6629.66775248603,,,66.095
SVK,1.57,112.9132876,27519.287,5.68,5.0,5454147.0,26.88,79.0,201.0,3.0,1.0,1.3969999551773071,0.2925367951393127,1.2068965435028076,0.797,2.141,3.719016551971436,,,,,5.206096281526911,1.3650590181350708,1.6347662210464478,0.5836842656135559,18.0,0.8666666150093079,0.3791257858276367,1.5467629418708385e-06,0.1807596395801032,105843498304.094,19406.0589683582,23.2,0.11811627,53.729
SVN,1.61,101.7378352,32673.762,4.25,3.0,2088385.0,4.57,72.0,202.0,3.0,1.0,1.597000002861023,0.3261797130107879,2.1212120056152344,1.837,1.652,2.432379007339477,,,,,5.270419425789125,1.9978410005569456,1.4590833187103271,0.5616365671157837,18.0,,0.3038651657104492,0.0,0.2179131190044075,53909922735.545,25814.1687167572,24.4,0.0,54.822
SWE,1.71,22.85421845,47126.13,2.05,5.0,10278887.0,3.38,85.0,5.0,3.0,1.0,2.3540000915527344,0.3434383869171142,0.985915482,2.725,2.575,2.713383436203003,0.8200467824935913,,,,6.314778451,1.4179229736328125,1.110274314880371,0.9931250810623168,,,0.4713916778564453,0.0,0.3259533326493034,532169294165.94,51773.0464558993,29.3,0.3165186,87.708
SWZ,2.921,61.39534884,8522.45,,228.0,1179874.0,,52.0,132.0,8.0,1.0,-0.078950003,0.3370828032493591,1.0,-0.956,0.385,1.508525848388672,,,,,4.213593555835722,,,0.6086563467979431,,0.5888890027999878,0.2899231338500976,0.4932394027709961,0.280428666,4594818143.27624,3894.32951592818,,,23.981
SXM,1.601,1113.248771,,,,40385.0,,,,,,,,,,,,,,,,,,,,,,,,,1407880446.92737,34861.469528968,,,100.0
SYC,2.36,189.1304348,31055.39,3.19,3.0,97625.0,69.0,73.0,199.0,8.0,0.0,,,1.25,0.608,0.994,1.644853591918945,,,,,5.255298320461084,2.28684926,,0.5176572203636169,,0.6555553674697876,0.1627559852600097,0.06094069,0.2998746156115346,1868690096.73454,19141.5118743615,,,57.119
SYR,2.835,111.3489081,2494.7612,1.39,33.0,20353534.0,,53.0,97.0,5.0,1.0,-1.202000022,0.3433527946472168,0.7142857313156128,-2.907,-1.798,-0.227544978,,,,,,2.7984321117401123,,0.7035146355628967,1.0,0.4777776598930359,,,,22583045060.0821,1109.53926036049,,,54.821
TCA,1.692,40.37263158,,,,43166.0,17.37,,,,,,,,,,,,,,,,,,,,,,,,1177285211.72521,27273.4376992357,,,93.36
TCD,6.412,8.915978399,1393.5635,,1047.0,16685223.0,,15.0,109.0,8.0,1.0,-0.53490001,0.3119029998779297,0.2857142984867096,-0.843,-0.013,0.8518812656402588,,3.0,1.0,1.0,2.8130298875703788,1.3413084745407104,,0.5348557829856873,12.0,0.6555560231208801,,,0.062866143,11314951091.7283,678.142035723965,,,23.279
TGO,4.385,110.8291965,1586.5889,,418.0,8463068.0,,15.0,134.0,8.0,1.0,-0.193499997,0.2774075865745544,0.5882353186607361,-0.397,1.076,0.7926186919212341,,2.0,1.0,1.0,2.356656109943377,0.8197547793388367,,0.4976314008235931,14.0,0.6555556654930115,0.1860047149658203,0.2303421401977539,0.2140090812632565,6992700101.37188,826.260654099894,,,42.248
THA,1.352,135.2972264,16421.072,2.33,29.0,71522271.0,29.7,72.0,49.0,2.0,1.0,0.5795000195503235,0.2845377027988434,1.0,-2.122,2.123,1.7402222156524658,0.5998179316520691,,,,4.434535993438609,2.030126571655273,1.4431416988372805,0.9963145852088928,11.0,0.8555556535720825,0.3719256591796875,0.041695271,0.176038134891881,543976691793.886,7605.69657797759,34.9,0.0950376,50.692
TJK,3.281,49.14975707,5507.5454,4.36,16.0,9529966.0,41.78,27.0,133.0,3.0,1.0,-0.02922,0.3085572123527527,0.9210526943206788,-1.789,-0.956,1.4395314455032349,,4.0,2.0,1.0,2.511835270510419,1.074345946311951,,0.5581688284873962,14.0,0.8111112713813782,,,0.2242031321019792,8300813599.3084,871.022372934846,,,27.309
TKM,2.74,10.72925755,17234.555,4.09,5.0,6803944.0,,18.0,136.0,3.0,1.0,-0.707099974,0.3667094111442566,0.6034482717514038,-2.143,0.641,2.2164602279663086,,,,,,2.022675037384033,,0.3568311333656311,17.0,0.3333333134651184,,,,45232857142.8571,6648.0348960628,,,52.048
TLS,3.336,75.58843309,,,224.0,1300945.0,,58.0,74.0,2.0,1.0,0.095310003,0.3014315068721771,1.75,0.369,-0.473,1.880793571472168,,3.0,0.0,1.0,3.462436071406249,0.7475249171257019,,0.5738018751144409,,0.6222223043441772,0.8131816101074218,0.1010016727447509,0.041684064,2032550400.0,1562.36458881813,,,30.947
TON,3.315,144.4444444,,,125.0,105669.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,494197841.113077,4676.84790348236,,,23.107
TTO,1.643,261.4035088,25773.006,1.92,26.0,1363985.0,,46.0,135.0,4.0,1.0,0.5713000297546387,0.3058308064937591,0.985915482,0.758,0.802,1.8027976751327517,,,,,5.0005010971438,1.3751040697097778,1.7675185203552246,0.6028392314910889,,0.5666666626930237,0.6880152892286495,0.072201605,0.2778400039672851,23775659262.5735,17431.0269266696,,,53.187
TUN,2.148,67.90036045,10913.846,2.38,40.0,11875081.0,6.2,59.0,98.0,5.0,1.0,0.6241000294685364,0.2858507037162781,1.0,0.123,-0.682,1.368613839149475,0.5849602222442627,,,,4.484263427536844,1.6630754470825195,,0.7549247741699219,12.0,0.7666673064231873,0.4249964713291697,0.0530484056472778,0.2133900070190429,41905642418.825,3528.87213306798,,,69.254
TUR,1.967,94.52853969,27361.988,2.99,17.0,82579440.0,17.33,78.0,99.0,3.0,1.0,1.003999948501587,0.2894425988197326,1.9444444179534912,-0.762,1.735,1.5141018629074097,0.8051890730857849,,,,5.3009496511422425,2.0175461769104004,,0.9956039786338806,14.0,0.8222223520278931,0.286319522857666,0.020400648,0.1780138368277626,761005915750.925,9215.44049888114,43.8,0.45154127,75.63
TUV,3.199,327.5666667,,,,10581.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,54123198.5662913,5115.13075950206,,,63.215
TZA,4.864,50.62203658,3057.3286,0.63,262.0,59174891.0,116.35,41.0,47.0,8.0,1.0,0.3776000142097473,0.2655090093612671,1.0,0.245,0.518,1.5981931686401367,,3.0,2.0,3.0,2.4018594094182872,0.4393138885498047,0.6155610680580139,0.4785976111888885,13.0,0.755556047,0.3684809875488281,0.085475941,0.1089499961816427,61026731925.9213,1063.32250976563,,,34.5
UGA,4.809,167.278915,2122.0278,,292.0,42999637.0,,15.0,50.0,8.0,1.0,0.3691000044345855,0.2753643989562988,0.8974358439445496,-0.093,1.675,1.7013355493545532,,4.0,2.0,2.0,2.198203168530946,0.7947335243225098,,0.7191182971000671,14.0,0.7222226858139038,0.3565290451049804,0.087822256,0.1172581913547017,35348155095.4215,822.057058189153,42.7,42.11563,24.361
UKR,1.228,79.18076365,7749.0996,6.26,9.0,44957458.0,15.53,45.0,100.0,3.0,1.0,0.3095000088214874,0.298271507,0.7142857313156128,-1.268,-1.411,0.7554150223731995,,,,,4.202947886481858,1.901930332183838,,0.554979146,12.0,0.9111109972000122,0.2808805084228515,0.082642765,0.2489266518618647,153883047509.577,3619.86157226563,26.6,0.0,69.473
URY,1.546,19.18066507,20181.94,2.49,20.0,3397206.0,32.95,67.0,102.0,4.0,1.0,1.2929999828338623,0.2795934081077575,1.014492750167847,2.633,1.864,1.997969150543213,0.7417882680892944,,,,5.653409295394519,2.135223865509033,2.049834012985229,0.8217629194259644,18.0,0.8888887166976929,0.3079975700378418,0.0572989034652709,0.1845129626275962,62222325807.0578,18315.7352857194,39.7,0.102072,95.426
USA,1.706,33.81816949,58487.465,2.74,20.0,328329953.0,16.04,52.0,20.0,6.0,1.0,1.8600000143051147,0.3489109873771667,1.0,2.279,2.588,2.014090776443481,0.5701025128364563,,,,7.588979653337339,1.648425579071045,1.0905344486236572,0.8164705038070679,,,0.636924057,0.0105141639709472,0.200100769,21539982000000.0,65604.6815198734,41.5,0.99917054,82.459
UZB,2.785,66.35637047,12559.401,4.78,30.0,32964701.0,2.03,42.0,140.0,3.0,1.0,-0.079549998,0.295794815,0.5882353186607361,-0.941,0.327,2.286586046218872,0.2387198358774185,5.0,2.0,3.0,,1.1626957654953003,,0.6920129656791687,14.0,0.511111319,0.313354435,0.1554838848114013,0.2493311310623349,67293639798.3996,2041.38480729431,,,50.433
VCT,1.838,279.4871795,,,65.0,104167.0,55.2,67.0,,,,,,,,,,,,,,,,,,,,,,,910766666.666667,8743.33202133753,,,52.614
VEN,2.25,32.68975682,5267.1753,0.99,177.0,28938098.0,76.13,37.0,51.0,4.0,1.0,-0.02595,0.2919946908950805,1.0,-1.217,-0.154,0.8656903505325317,0.6080689430236816,,,,2.455784589857897,2.2833313941955566,,0.8656600713729858,10.0,0.8222223520278931,0.2021282005310058,0.084084873,0.1949262754073221,,,,,88.24
VGB,0.948,,,,,36395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.116
VIR,2.05,314.2857143,,,,106669.0,,,,,,,,,,,,,,,,,,,,,,,,,4121000000.0,38633.5298915336,,,95.832
VNM,1.948,280.3495985,8050.359,,50.0,97173776.0,24.23,41.0,34.0,2.0,1.0,0.7556999921798706,0.2724407911300659,0.7142857313156128,0.528,1.154,1.2815515995025637,,4.0,3.0,3.0,3.9166424785213887,1.8919758796691892,,0.7585721611976624,18.0,0.8222223520278931,,,0.1659963883159322,334365270496.667,3440.90025375434,,,36.628
VUT,3.813,19.68826907,,,93.0,291985.0,,54.0,206.0,2.0,0.0,,,0.7142857313156128,0.8,-0.105,1.6133891344070437,,4.0,2.0,2.0,,,,,,0.455555647611618,0.0,0.2190218544006347,0.161104589,936526267.622513,3207.44650452083,32.3,9.963333,25.394
WSM,4.047,65.01766784,,,66.0,209780.0,,77.0,,2.0,0.0,,,2.0,,,,,5.0,4.0,4.0,,,,,,0.5333336591720581,0.242939453,0.1132898139953613,0.2267944285736275,912950466.064906,4351.94234943706,,,18.056
XKX,1.546,,,,,1788891.0,,,,,,,,,,,,,,,,,,,,,,,,,7899737577.47286,4415.99716107514,,,
YEM,3.963,45.55751274,1959.3195,,181.0,35111408.0,,8.0,14.0,5.0,1.0,-1.442000031,0.3121665120124817,0.2857142984867096,-3.149,-1.712,-0.136507615,0.4868890941143036,3.0,1.0,1.0,,0.5623419880867004,,0.5435992479324341,4.0,0.5555559992790222,,,,,623.376164898164,,,37.273
ZAF,2.475,41.16281176,11415.887,,118.0,59587885.0,,58.0,8.0,8.0,1.0,0.8833000063896179,0.2882131934165954,1.3461538553237915,0.757,2.149,1.644853591918945,,,,,4.158749552,0.9095548391342164,,0.6370657682418823,12.0,0.8111109733581543,0.5194963836669921,0.0392324018478393,0.2910345217569698,389330032224.269,6533.71121032856,,,66.856
ZMB,4.451,17.38925732,3342.4214,,129.0,18513839.0,,33.0,61.0,8.0,1.0,0.3531999886035919,0.2672829031944275,1.0,0.075,1.443,1.5792444944381714,,4.0,2.0,2.0,3.1968268307267502,0.7125006914138794,,0.5798450112342834,16.0,0.6000003218650818,0.4657065200805664,0.099657736,0.1226790125476467,23308667781.2258,1258.98619844462,,,44.072
ZWE,3.599,32.49579941,1703.5294,,393.0,15271368.0,,14.0,62.0,8.0,1.0,0.2964999973773956,0.2747896015644073,0.9459459781646729,-1.108,1.175,2.5295772552490234,,4.0,1.0,3.0,3.3416775215437555,1.5427119731903076,,0.5271317958831787,14.0,0.6222220063209534,0.3359639358520507,0.097237883,0.2503704749135558,25717409842.4479,1684.02790388182,50.3,39.75453,32.21
